看板,標題,作者,發文時間,內容,留言
Gossiping,[新聞] 印尼麥當勞推「婚宴套餐」　招牌餐點一,anniedavid (未來在等待的人才),Mon Jul 10 15:39:31 2023,"https://www.ettoday.net/dalemon/post/67332

慶祝新人大喜之日！印尼麥當勞推「婚宴套餐」　招牌餐點一次供百份

2023年07月10日 14:45

喜歡吃麥當勞的酸酸們，如果麥當勞推出「婚宴套餐」，你會希望在婚禮上吃到嗎？印尼的
麥當勞日前宣布，要為準新人提供婚宴套餐服務，藉此和新人們一起慶祝他們的大喜之日！

綜合The Sun、8world報導，麥當勞印尼公司6月27日在官方IG上發文宣布，他們要以低於20
0英鎊（約新台幣8,037元）的價格來提供「婚宴套餐」，套餐內容共有4種選擇，包括100個
麥香雞、100盒麥克雞塊、100個吉事漢堡和100個雞柳條，最低訂購量是200份。

印尼麥當勞公司的發言人哈里亞迪（Rizki Haryadi）表示，婚宴套餐不是要讓新人在麥當
勞舉辦婚禮，僅是為婚禮提供美味的食物，「最低價格從185英鎊（約新台幣7,434元）起跳
」。麥當勞婚宴套餐目前只在印尼雅加達提供，如果成功推行的話，未來也可能會拓展到全
世界。

事實上，不僅印尼麥當勞推出類似套餐，The Sun報導指出，香港麥當勞也曾在2011年推出
「幸福派對」套餐，最基本的套餐價格為300英鎊（約新台幣1萬2,056元），內容物包括租
用2小時的麥當勞場地、音響設備、麥當勞的美食以及一些裝飾品。

筆者後記：
婚宴餐點如果有滿滿的麥當勞，對真愛粉來說應該會很開心吧XD

",[]
Gossiping,[新聞] 宜縣92歲老翁懷疑77歲妻結新歡 怒火攻心,FiveSix911 (五六玖壹),Mon Jul 10 15:39:42 2023,"1.媒體來源:自由時報
2.記者署名:江志雄
3.完整新聞標題:宜縣92歲老翁懷疑77歲妻結新歡 怒火攻心開槍射傷妻子
4.完整新聞內文:

〔記者江志雄／宜蘭報導〕宜蘭縣92歲丁姓老翁懷疑77歲妻子另結新歡，涉嫌在住處持獵
槍朝妻子房間的木質房門射擊，造成門後丁妻中彈送醫，所幸無生命危險，警方查扣作案
槍枝，經查是40年前合法申請持有的美製雙管獵槍。

這名丁姓老翁是個老榮民，目前與妻子、次子同住在冬山鄉，夫妻結婚超過半世紀，出齡
差15歲，因感情不睦分房睡，雖然同在屋簷下，但彼此互動不佳。

昨天清晨6點，2人又因細故起口角，丁妻返回自己房間關上房門，老翁懷疑妻子帶男友回
家躲進房內，一氣之下持獵槍朝房門開一槍，擊發後的霰彈射穿房門，擊中站在門後的丁
妻。

在隔壁房睡覺的次子聽到槍響，跑出來一看究竟，得知父親持槍射傷母親，趕緊報警處理
，丁妻的大腿及腹部都有槍傷，被送醫手術取出霰彈彈丸，警方在屋內查扣1把美製雙管
獵槍、24顆霰彈（一顆已擊發），把涉案老翁帶回偵辦。

偵訊過程中，老翁告訴辦案人員，因懷疑妻子結交男友，並帶回家躲在房內，一時怒火攻
心，憤而拿出獵槍擊射房門洩憤。老翁兒子指稱，母親沒有交男友，一切出自父親的幻想
。

警方訊後，依違反槍砲彈藥刀械管制條例及殺人未遂罪，將老翁移送法辦，同時代丁妻向
宜蘭地方法院聲請緊急保護令，至於老翁持有的美製雙管獵槍，依自衛槍枝管理條例合法
申請，1983年發照，已有40年歷史，如今被老翁拿來射傷另一半，警方要申請撤照。

5.完整新聞連結 (或短網址)不可用YAHOO、LINE、MSN等轉載媒體:
※ 當新聞連結過長時，需提供短網址方便網友點擊
https://news.ltn.com.tw/news/Yilan/breakingnews/4359381

6.備註:
※ 一個人一天只能張貼一則新聞(以天為單位)，被刪或自刪也算額度內，超貼者水桶，請注意
※ 備註請勿張貼三日內新聞(包含連結、標題等)

呃...

",[]
Gossiping,[問卦] 用封閉式刮鬍刀還被刮滿臉血很遜嗎？,Ifault (Not my fault),Mon Jul 10 15:41:38 2023,"被就介紹燒到

買了一隻傳統刮鬍刀

Merkur 34C

結果刮的滿嘴傷口是不是很遜

還鬍渣還沒刮的很乾淨


哭啊

",[]
Gossiping,Re: [問卦] 地球越來越熱，要再幾年就不能住人？= =,loserfatotak (魯肥宅沒老婆(TAT)),Mon Jul 10 15:42:24 2023,"笑死

熱到不能住人的，是低緯度地區如台灣

地球還要很多高緯度國家啊

土地還被凍結住無法開發

一但暖化，這些國家就爽死

至於哪個國家就不好說了

血天然氣真香啊

",[]
Gossiping,Re: [問卦] 白飯事件 台灣人到底奴性有多重啊？,bitch426 (0.0),Mon Jul 10 15:42:26 2023,"我跟你說

那些奴性重的邏輯大師永遠不覺得自己奴性重

出社會了賺錢了 只會用自己的角度來看窮學生

整件事情我完全不覺得窮學生有錯

你可以說他們窮酸 金額吃那麼少 好意思吃那麼多白飯

問題是在消費總金額嗎？

是「契約問題」好嗎

就算他們是乞丐怎麼了

乞丐店家就可以不用履約了嗎？

很多邏輯大師說 店家標榜免費而不是吃到飽

乾 不覺的哪裡怪怪的嗎？

一堆白癡跟風仔自以為邏輯大師 以為分開來看沒問題

按這邏輯 舉一個最極端的

我就問那些邏輯大師免費吃 但每人只分到1顆米你是能接受膩？

今天他們也沒任何浪費食物的行為

評論1星也是就自己的主觀親身經驗所做

今天吃不飽的人是你是不是？

啥時評論都要被出征了 人人得而誅之

啊就真的不夠吃啊

邏輯大師講再多 還是改變不了飯還是不夠吃的事實


還有第二個疑點

店家口口聲聲說學生吃了兩鍋約77人的份量

結果被學生說根本沒兩鍋

且他們只有27人，1人平均吃1.2碗

是哪來的兩大鍋！？是不是膨風？一開始還聲稱他們來了40個（我問號

你店家煮不起就不要接好嗎拜託

如果真的人手、物料不足 態度可以好一點

可以說正在煮 請稍候

是人都能體諒

那麼囂張還嗆說沒白飯可以點別的

供三小

很多時候講求的就是一個態度問題

還不就是看學生好欺負

若今天這27人全部刺半甲他敢吭聲嗎


學生洗1星的行為固然有爭議

個人認為沒有 因為主觀的東西只要沒誹謗、公然侮辱

吃不飽的人不是這些邏輯大師 他媽管人家怎麼評論耖

整件事有腦的稍微想一下都知道問題出在哪

邏輯大師真的不要不懂裝懂

還力挺店家咧

能在台北開熱炒的你以為他們真的很可憐喔


※ 引述 《songyy886》 之銘言：
: 美國連鎖平民餐廳 Olive Garden
: 
: 主要是吃義大利麵的餐廳
: 
: https://i.imgur.com/1PcT92s.jpg
: 
: https://i.imgur.com/UvE4l0S.jpg
: 
: 時常推出 $5.99 or $6.99
: 
: 麵包、沙拉、湯     一律無限供應 (unlimited)
: 
: 人家不敢玩文字遊戲 私下找記者爆料 公審消費者
: 
: 什麼我們只是 unlimited （無限供應）
: 
: 不是 all you can eat  (吃到飽)
: 
: 以美國西岸大部分時薪 $15-$17來講
: 
: 價錢超級佛心
: 
: 可以想像成台灣一小時基本工資的40%就管飽
: 
: 餐廳敢說無限供應 就不敢說來不及準備
: 
: 如果有缺東西 就打折或是免單
: 
: 
: 
: 
: 當27位肥宅聚餐 在告知餐廳用餐人數的前提下
: 
: 要了人均1.2碗的白飯(原本店家說無限供應)
: 
: 有人想吃第二碗飯 結果被告知要等40-70分鐘
: 
: 然後肥宅們不爽留一星負評
: 
: 餐廳直接找記者加公佈監視器畫面意圖肉搜
: 
: 然後學校管理階層出面逼學生道歉
: 
: 台灣還一堆人幫餐廳說話
: 
: 原來熱炒店不小心吃到人均1.2碗白飯
: 
: 變成了滔天大罪 人人得而誅之
: 
: 什麼熱炒店不是什麼窮學生該去的地
: 
: 吃第二碗飯就是貪小便宜的乞丐
: 
: 
: 
: 
: 呵呵 不難想像為什麼鬼島一堆慣老闆、慣攤商
: 
: 一堆超貴又超爛的景區
: 
: 一堆性價比超差的民宿
: 
: 一堆用話術攬客然後坑殺消費者的商業活動
: 
: 要求正常的待遇就是窮酸、就是乞丐貪小便宜
: 
: 搞到大家寧可出國玩也不要留在國內消費
: 
: 說白了
: 
: 台灣人已經奴到跟狗一樣習慣店家廣告不實
: 
: 客人拉來再搞小動作修改遊戲規則
: 
: 標榜無限供應白飯
: 
: 然後吃了人均1.2碗就被肉搜逼著道歉
: 
: 原來現在要求店家不要廣告招牌不實
: 
: 都要被攻擊成沒錢不要學人家吃熱炒
: 
: 按照這樣邏輯
: 
: 沒錢不要學人家出去玩 被爛民宿宰客也是活該
: 
: 沒錢不要學人家上班還不願意被老闆凹加班
: 
: 沒錢不要學人家玩民主 政客選舉後翻臉很正常啦
: 
: 沒錢不要學人家買房還要求實價登錄不動手腳
: 
: 賤民就是去死一死 沒錢不要要求這麼多啦
: 
: 鬼島到底是奴到什麼程度了啊？
: 
: 鬼島要不要改名為奴島或是鬼奴島啊？
: 
: 有這方面的八卦嗎？

",[]
Gossiping,[新聞] 北科大白飯之亂延燒!綠議員用「柯粉」,jason486 (JASON),Mon Jul 10 15:42:57 2023,"備註請放最後面 違者新聞文章刪除

1.媒體來源:
※ 例如蘋果日報、自由時報（請參考版規下方的核准媒體名單）
※ Yahoo、MSN、LINE等非直接官方新聞連結不被允許


2.記者署名:
※ 若新聞沒有記者名字或編輯名字，請勿張貼，否則會被水桶14天
※ 外電至少要有來源或編輯 如:法新社

Newtalk新聞 社會
張志毅
綜合報導
發布 2023.07.10 | 15:07


3.完整新聞標題:
※ 標題沒有完整寫出來 ",[]
Gossiping,[問卦] 女生臉油被說皮膚好？,chin700908 (fallen),Mon Jul 10 15:43:24 2023,"乳題

本肥發現

有些女生

臉看起來油亮油亮

都會有人說皮膚好好

反觀男生

臉油就是噁心臭

平平是臉油

為何差那麼多

有沒有卦？

",[]
Gossiping,[新聞] 美足球教練遺失手機　餐廳拾獲驚見大量少,ThisisLongID (長哀滴),Mon Jul 10 15:43:38 2023,"備註請放最後面 違者新聞文章刪除

1.媒體來源:
tvbs

2.記者署名:
劉哲琪

3.完整新聞標題:
美足球教練遺失手機　餐廳拾獲驚見大量少年遭性侵影片


4.完整新聞內文:

美國田納西州一間餐廳，近日撿到客人遺落的手機。當店員試圖查出失主的身分時，意外
發現手機內有大量少年遭性侵的影片和照片，急忙通報警方。警方後來查出手機失主的身
分，發現他是當地熱門的足球教練，利用職務之便帶少年回家，趁機下藥性侵。

《紐約郵報》報導，田納西當地警方9日指出，住在富蘭克林（Franklin）的63歲足球教
練坎波斯（Camilo Hurtado Campos），近日將手機遺落在當地一間餐廳。當店員察看手
機內容，試圖找出失主的身分時，意外發現多支失去意識的少年遭性侵的影片，連忙通報
警方。

富蘭克林警方發表聲明指出，警方在該手機中找到上百支駭人的影片和照片。受害少年的
年齡約介於9歲至17歲之間，至少有10人受害。目前警方已經確認2人的身分，正在搜尋其
他受害人。警方指出，由於少年們受害時遭到下藥迷昏，因此他們應該都不知道自己遇害
。

據報導，坎波斯住在當地約20年。他會到公園遊樂場等地，邀請男童加入他的足球隊。警
方指出，坎波斯獲得兒童的信任後，就會帶他們回家，將他們下藥迷昏性侵。他目前被控
性侵兒童與性剝削未成年人，現正遭到關押。


5.完整新聞連結 (或短網址)不可用YAHOO、LINE、MSN等轉載媒體:
https://news.tvbs.com.tw/world/2175041


6.備註:

還是從小就當肥宅安全

",[]
Gossiping,Re: [問卦] 只有我覺得熱炒老闆玻璃心嗎??,miHoYo (米哈遊),Mon Jul 10 15:43:52 2023,"※ 引述《assassinASHE (幹古專用帳號)》之銘言：
: 我本來看新聞以為
: 一群學生掃完免費白飯
: 發現吃不夠 拍拍屁股走人 連錢都沒付
: 後來我才知道 原來他們有付錢 一人兩百多吧
: 欸不對啊
: 既然他們有吃有付錢 如實評述
: 那有什麼錯??
: 又不是發現吃不夠 直接走人
: 難道只有我覺得熱炒老闆玻璃心嗎??

就玻璃心啊==
白飯那種便宜到哭的東西
平常買米都不貴 這種業務用更便宜
說白了就是貪小便宜 一人兩百多在熱炒消費算中等了
怕被人吃開三小熱炒店


",[]
Gossiping,[問卦] 發一堆廢文的人到底從哪裏找靈感,BigMacGCB (尊重友善包容),Mon Jul 10 15:44:19 2023,"餓死抬頭，
一定有某些鄉民，
每天都是把廢文發好發滿，
靈感從不枯竭，彷彿天生為了發廢文而生。
小妹我就很難做到這樣，
常常偶而想發篇廢文，
卻發現不知道該發些什麼...
實在很好奇他們的靈感都從哪來的，
是天生的才氣賦予的嗎？
還是從書本中挖掘出的呢？
抑或是來自於豐富的生活體驗呢？
該不會是三者皆有吧？
各位鄉民們怎麼看待這個答案？
有沒有八卦？

",[]
Gossiping,[協尋] 父親在大禮大同失蹤,louis82828 (),Mon Jul 10 13:39:03 2023,"        我父親於7/8（六）凌晨四點獨自前往大禮大同登山，七點十五分左右於流籠處聯
絡家人跟朋友說平安，後續就沒有消息傳來也沒讀訊息，直到昨日晚間都還沒歸來於是我們
去派出所跟消防隊報案。想請問是否有鄉民山友於六、日前往大禮大同踏青看到我父親？
特徵如下
頭戴黃黑色登山帽、衣著深色衣物、身背藍色背包、身高約170、體態中等
照片如下
https://i.imgur.com/w4wfK7j.jpg
https://i.imgur.com/rML7HQm.jpg
https://i.imgur.com/nZ0bzQV.jpg
有看到我父親的朋友麻煩私信聯絡我，非常感謝

","['幫加加', '獨自？', '第一張還以為來亂的', '高調', '奇萊山失蹤？找搜救隊搜尋，祝早日歸', '高調', '看錯，看圖以為奇萊山', '沒水沒電的部落.. 會有收訊嗎', '吉少', '幫', '幫推', '高調', '推', '高調', '幫高調', '推', '推', '要放鞭炮', '高調', '高調', '希望早日找到', '希望平安', '祝平安', '警察先生，就是這個人', '高調', '高調', '推', '高調，為什麼又獨自去登山', '無間道', '推']"
Gossiping,[問卦]  2023一到五月出生數比2016同期下降35%,jimmy12332 (123),Mon Jul 10 15:20:31 2023,"是這樣啦
本魯剛剛看到5月出生數的文
發現出生數有每月資料欸
就算了算
2016一到五月出生數平均16,821人
2023一到五月出生數平均11,003人
下降35%

然後本魯又把2012到現在的出生數畫成圖如下
圖為了不要讓短期波動影響觀看
多畫了一條12個月移動平均
https://i.imgur.com/39rynfG.jpeg

這圖也太慘了吧？
本來還有一點要回升的感覺
結果從2016到現在 狂降欸？
出了什麼問題？
","['少子化辦公室很努力啊', '少子化辦公室大成功', '唯一有感的辦公室', '台灣女性萬歲', '兩房千萬豪宅是要怎麼生嘻嘻', '要低於1萬 還有勞保可在領嗎', '少子化成功 太爽啦', '肯定是經費編的不夠 再加10億給少子化', '辦公室 大家說好不好', '有民主自由就夠幸福了，不用有下一代了', '打底，随時噴發', '阿共的陰謀啦', '小孩是奢侈品 不是我這種窮人消費得起的', '這是好事啊', '台女有錢 就不想賣子宮生小孩了阿', '有狂降嗎？明明陡度就很低', '台女通膨 台男要花以前百倍的錢才買的到', '少子化辦公室大成功', '可以跟房價指數做看看相關係數', '有成效的單位應該編更多預算', '問就是少子化辦公室的政績', '少子化大成功', '少子化辦公室大成功', '馬維拉害的啊，看不出來嗎', '沒錢生個懶叫..是射了就不用養膩？', '2016開始誰執政 懂的就懂', '台灣被掏空了，生下來只是背債', '菜', 'who cars']"
Gossiping,[問卦] 窮有窮的養法，你能接受嗎?,airhong (艾爾洪斯),Mon Jul 10 15:20:39 2023,"

如題，都說窮有窮的養法

那麼你各位老了可以接受孩子用窮養的方式養你嗎?

被窮養又窮到甚麼程度是可以接受的呢?

醫療的部分省嗎? 食衣住行省嗎?


我個人覺得孩子沒錢的話病的重了還是早點死吧

吃東西年輕時候也就吃過了，吃來吃去都差不多，能餬口就好

一起住最心煩，很怕打擾年輕人。

各位又怎麼想呢?


","['不行', '首先要先有孩子', '窮人別生拜託會害死人', '你可以去問問以前沒有健保，老人沒錢又生', '大病是如何處理？', '有錢判生沒錢判死,就上一輩那年代的情況', '現在還有人想著孩子之後會養自己!!?', '你可以看看外國階層低的怎麼養的', '不懂沒錢還生什麼小孩', '不怕窮就怕比 心裡不平衡能怪的就父母']"
Gossiping,[問卦] 有沒有冰河機Kaspa礦機的八卦?,mcmonkichi (魚池紅玉好喝!),Mon Jul 10 15:20:56 2023,"而 Kaspa 所採用的 KHeavyHash 算法，支援 GPU、FPGA、ASIC 設備來計算挖礦，但過去
全部礦工皆使用 GPU 顯示卡挖 Kaspa 的時代，在今年 5 月硬生生被礦機企業打斷，專
門挖取 Kaspa 的 ASIC 礦機問世。

比特大陸預告「Kaspa礦機KS3」將上市

據官方公布數字，KS3礦機算力高達 8.3TH/s，功耗 3188 瓦，單位功耗 384 W/T，以當
前 KAS 幣價計算，單台礦機每天淨收入超過 2,600 美元。若以 RTX 4090 顯示卡單位功
耗 178 W/G 來相比，KS3 功耗比贏過 2,100 倍，簡直形成跨維度打擊。


一台ks2 等於70-80台八卡GPU的運作收益


有沒有專業礦機是甚麼原理的八卦?

為什麼算力可以這麼猛?

","['看謀 樓下幫我翻譯', '這樣幹嘛買h800', '中國公司怎麼不自己賺', 'asic']"
Gossiping,[問卦] 急！小蘭跟灰原要選誰,deankiller (21),Mon Jul 10 15:21:56 2023,"急！ 小蘭跟灰原哪個比較好啊

如果要選另一半的話

小蘭感覺比較兇

擾到他馬上被空手道

但是小蘭是青梅竹馬 比較有感情

灰原則是比較聰明 個性比較好

急 在線等

 https://i.imgur.com/zfDGkSb.jpg

https://i.imgur.com/PRw0d9J.jpg

","['問就是黑鬍子', '樓下白冰冰跟我國總統你比較喜歡誰', '現在選小蘭 10年後選小哀', '你這個十零開欸', '噁心死了', '小孩子才選!柯南選誰?', '灰原身邊一堆FBI，你想清楚', '我比較喜歡阿笠博士 感覺很溫柔', '我朋友說新的一集小蘭沒戲了', '一個馬上可以X，一個要等，怎麽選還要問', '灰原，小蘭鬆了', '？嫩', '秒選小哀', '到底誰會選角蘭', '懂玩', '從來沒有你可以選,只有人家不可能選你', '當然是灰原', '窩秒選小蘭啊，怎麽惹嗎？', '小哀個性跟顏值比小蘭強多了', '步美', '選小蘭有被角插死的風險', '問就是阿笠博士', '我家的狗 選 灰原>阿笠>元太>步美>小蘭', '灰原感覺就是那種趁你睡覺切你GG的瘋女人', '博士', '我想選園子 放棄努力', '灰原明明就個性有問題，根本就有憂鬱症', '園子，奶+不用努力', 'https://tinyurl.com/mum7vubp', '病嬌才讚 玩完就甩了 接盤俠自己承受', '嘗試一下灰原留長頭髮染成黑色', '一個被打死一個被藥死', '選灰原吧畢竟年輕的肉體', '小蘭比較賢慧 但我選小哀', '園子', '科南', '哀', '選園子就不用努力了', '渣男沒得選  自己滾一邊玩沙', '啊～雪莉～', '灰原屌虐', '都要', '都是琴酒的形狀', '還要選什麼 當然都要', '哀>沒有髮哭的園子>其他']"
