看板,標題,作者,發文時間,內容,留言
Gossiping,[問卦] 怎樣算是熟悉adobe軟體,kimura0701 (一天要喝3千cc的水),Mon Jul 10 23:38:58 2023,"本肥最近準備找工作

看有不少職缺都寫熟悉adobe軟體佳

我看了一下 很多欸 什麼乙拉 佛偷夏普 夢威兒

怎樣才算是熟悉啊 該不會每個都要精通吧

有卦嗎？

","['會用photoshop把二樓ㄉ奈米屌變大', '我3cm不算小吧', '會PS PR AE ID', '會花錢買編輯pdf']"
Gossiping,Re: [問卦] 到底是Joeman眼光有問題還是人品?,ligin (GAME OVER),Mon Jul 10 23:41:56 2023,"肥宅之光9面
什麼都沒有
就只有錢而已

女生找到有錢的
幹嘛選9面人

況且也不知道9面人
願不願意花錢在女友身上


","['可惜沒繼續健身', '有錢屌就大  還而已 ~.~', '哪有那麼容易找有錢人', '一次是眼光有問題 現在看來是人的問題', '選到的都是同一種']"
Gossiping,[問卦] 怎樣算是熟悉踩地雷？,LukeSkywaker (路克天醒者),Mon Jul 10 23:42:16 2023,"
踩地雷這麼經典的遊戲

大家都從小玩到大了吧

那這麼經典的遊戲怎樣才叫做熟悉呢？

是看秒數來決定的嗎？有沒有八卦？

","['4', '會看數字 計算雷區 插旗子', '秒數', '背地圖', '有speedrun', '會用右鍵 雙鍵 破過高級', 'https://i.imgur.com/xaHuWYb.jpg', '亂源', '秒數沒錯']"
Gossiping,[問卦] 四大天王最帥的是誰？,iaMSorRy5566 (5566),Mon Jul 10 23:43:09 2023,"劉德華、郭富城、黎明、張學友，

除了張學友以外，

誰最帥？

聽說香港人覺得黎明最帥？
","['五樓', '我愛黎明', '蓋', '再蓋', '說我帥 太沉重', '郭富城', '當年 黎明是港草', '郭跟張有點年紀看起來很有味道', '小丑皇', '郭富城', '當然是黎明啊，還用問啊', '金毛獅王 謝遜', '小茂吧', '我記得有記者問過黎長相排名 黎說郭最帥', '希巴', ' 再來劉 他自己比張帥一點', '白眉鷹王 殷天正', '純論臉應該是郭最帥 但黎有身高加成', '黎明', '梁朝偉', '劉德華吧，雖然都沒看過實際人物', '郭富城越老越帥', '郭吧。', '我愛黎明我愛黎明', '郭']"
Gossiping,[問卦] 小慧 豪豪 千千 萌梓 一起吃快炒會怎樣?,emperor (派蘿派蘿得第一),Mon Jul 10 23:43:10 2023,"大胃王有時可能會交流交流

可能也會想吃一下快炒

如果當今第一人小慧

約巨巨豪豪

加上混血美女千千

然後千千又帶她的好友萌梓來體驗台灣文化

四人一起進店吃飯的話

這樣快炒店要準備幾桶白飯才夠吃呢?


","['這才是真正的白飯國家隊', '都沒聽過', '老闆直接拿紅包出來', '一人先吃三公斤的飯吧', '竟然沒有放佐藤', '老闆先跑路', '老闆直接哭出來', '一人一桶絕對夠', '老闆直接不供應白飯XDD', '快炒吃到飽要多少錢', '可以把豪豪換MAX鈴木', '白飯不夠老闆會跑去買來給她們吃 拍照', '當免費廣告多爽 白飯也才多少錢', '會有個主持人跟一個巨人解說', '旁邊會站著很多記者準備寫新聞.']"
Gossiping,[問卦] 很難想像20多年前上學穿露肚臍會犯校規?,"aitt (非主流,有何不可(M))",Mon Jul 10 23:43:13 2023,"



記得20多年前尚在就學時,就有女同學穿露肚臍來學校,
當時校方看到十分不高興,便要求不可這樣穿,
否則捉到就是一個申誡,也確實有人因此被記,
對比現在的話根本不會有人說話,
很難想像在當時這樣會觸犯校規吧


","['大叔你好老', '20年前已經2003了好嗎阿北', '你說40年前還差不多', '所以你想討論什麼？ 要不你先學一下組織語言', '2003還有哦', '要不是這幾年正好Y2K我就信了', '當時是街舞垮褲小可愛的時代', '現在連國中生都讀法律了，加上溫室效應，', '文化薰陶，越來越多人發現穿著歧視法規的', '破綻其實非常非常大，不靠霸凌還實施不起', '來', '阿伯 當時流行露股溝好不好  騎機車', '妹子的牛仔褲 阿斯~~~~Y', '那時候不是流行超誇張喇叭褲']"
Gossiping,[問卦] 怎樣算是熟悉八卦板,chadmu (噓之收集者查德姆),Mon Jul 10 23:44:40 2023,"你正在看PTT最大的看板

想要在這邊推發文至少要360天

要經歷過哪些事情

才能說自己已經熟悉八卦板了？

","['自己蓋到五樓', '蓋', '小肉豆', '先不穿褲子溜鳥', '某次鬧到版主管不住直接靜版好幾個禮拜', '六樓已經熟悉被肛的感覺', '好險 差一點', '幫六樓複習', '好險個屎 去洗屁眼吧', '我鳳山凱名就在用了 什麼八卦板 去去', '五樓在四樓上還下', '被桶三四次，你就會認真看板規了']"
Gossiping,[問卦] 田中千繪為什麼一直願意待在台灣？,alexhsu0909 (MazdaNo1),Mon Jul 10 23:45:12 2023,"不可否認海角七號很紅
但是之後就沒什麼代表作
人氣也不是很高
多得是來台過過水的藝人
但田中千繪願意把青春都獻給台灣
是為什麼呢？

","['草妮馬台北', '因為墾丁遇到一位小帥哥', '日本藝能地獄！', '普', '在日本沒知名度？', '女藝人幾乎都被潛規則過！', '回去也只能嫁人當家政婦？', '就跟范逸臣在一起啊， 留下來 或者我', '他在日本就不是藝人啊 他只是有錢人家的', '跟你走', '小孩而已', '降格位發展？韓也有idol解散後到台灣', '她回去就沒什都沒', '發展的', '日本混不下去阿', '願意待台灣?不是有演過對岸的古董局中局', '日本藝人超競爭的 跟台灣不一樣', '日本混不下去 也沒差啦 他爸不是公司大', '老闆嗎', '愛相隨男友', '她說留下來', '他家好像條件不錯', '他有演頭文字D 阿樹的女朋友', '瘋狂捉ㄞ', '有錢還待日本 是傻了喔', '田中千繪嫁給范逸臣會改叫范千繪嗎', '她男友就范逸臣啊', '他爸彩妝大師一堆事業', '新聞寫他爸身家6.4億', '真愛啊', '長相在日本不會紅', '阿部也是跑來台灣啊，雖然她家就比較普通', '不就范的關係', '秋元才加 留在日本也沒混的多風生水起啊', '秋刀魚的滋味', '因爲男友帥爆', '不然男朋友就會跟她走 多一張機票很貴', '爽', '男的這麼久也不取，再不生就來不及', '再一起這麼久 為什麼不結婚 不生小孩嗎', '來生活的阿，她又不用擔心生計，拍戲可', '以當副業，她也有出寫真跟代言那些收入', '，長期有男友自己生活穩定無虞，在台灣', '生活有些日本人還蠻舒適(日本演藝圈壓力', '大，又要應酬，平時跟職場又要讀空氣)在', '日本她那一型的女星少說有兩三百個在線', '上競爭，在台灣她們還算是有優勢，因為', '有文化背景獨特性', '*日星到台灣還有個好處，像去韓國那樣，', '回家很近。而且台灣人沒韓國之前的仇日', '風氣。日常物價對日本人來說，很便宜好', '生活', '現在生不生沒差啊，凍卵或代理孕母什麼', '的對她家族不難做到，也可能男方女方還', '沒這打算', '金字塔的五個滿足，她是在自我實現，早', '就不是蟻族在那邊煩惱生計的窮忙族，如', '果明天就引退到100歲都餓不死，還有有舞', '台劇跟什麼的，放空花幾百萬小錢去環遊', '世界都行', '問就是范逸臣', '當然是別的地方賺不到錢']"
Gossiping,[問卦] 有跟病嬌交往過嗎？,humbler (獸人H),Mon Jul 10 23:45:43 2023,"按照三餐查勤
手機桌布一定要放她的照片
然後逼你把所有電話內女性的電話刪掉
IG也禁止追蹤女性
朋友找你出去玩一定要跟監

","['這種是控制狂', '還有禁止亂射精', '炎P阿 一炎不合就打炮', '記得yt上有講病嬌的影片，很可怕', '這不是病嬌吧...', '這只是單純有病zzzz', '日本比較多', '有憂鬱症算嗎==']"
Gossiping,[新聞] 不滿女網友冷落 直播嗆「我宮二、64手」,InoueNagi (),Mon Jul 10 23:46:17 2023,"1.媒體來源:
自由時報電子報

2.記者署名:
2023-07-10 記者 陳建志 台中報導

3.完整新聞標題:
不滿女網友冷落 直播嗆「我宮二、64手」遭恐嚇罪起訴

4.完整新聞內文:
新北市一名黃姓女子（41歲）與台中一名林姓女子9年前透過臉書認識成為網友，2年前開
始見面往來，但黃女對於林女疏於連絡不滿，2022年透過直播念出林女的學經歷、職業、
父母職業，林女心生畏懼報案，沒想到黃女繼續開直播嗆聲，還自詡是電影「一代宗師」
中章子怡扮演的角色，「我宮二啊、我64手」，檢察官認為以暗示、隱喻方法恐嚇林女與
家人，今天將黃女依恐嚇罪起訴。

這名黃女和林姓女子2014年透過臉書認識成為網友，2021年8月兩人見面並來往，但黃女
不滿林女因工作疏於回應，2022年10月在新北市的住處以社群軟體Instagram開直播，念
出林女的生日、學經歷、職業等個人資訊，還恫嚇「我一秒瞬間可以讓你死，讓你從此找
不到工作」。

林女心生畏懼前往警局報案，沒想到黃女收到刑事案件通知書後，在同樣地點繼續開直播
嗆聲「知道她家在哪…知道她公司在哪…..，然後她父母家我也去過，阿完蛋了，看你逃
去哪裡」、「完了一次全倒」，還說「我宮二啊！我64手，一代宗師就是我」、「我是君
子報仇10年不晚系的，我可能過了3年才開始弄起來」。

黃女到案後，否認有恐嚇犯行，表示自己是創作者，是在寫劇本，講得是虛構的情節，沒
有恐嚇任何人。

不過檢察官認為，黃女在直播中，多次提及「弄死」、「一旦弄下去，完了一次全倒」、
「報仇」等語，已達惡害告知的程度，且「宮二、64手」等用語，是電影「一代宗師」中
，宮寶森的二女兒宮若梅以宮家64手擊敗宮寶森大第子馬三，為其父報仇的劇情，暗示將
對告訴人不利，台中地檢署今依恐嚇罪嫌起訴。

5.完整新聞連結 (或短網址)不可用YAHOO、LINE、MSN等轉載媒體:
https://news.ltn.com.tw/news/society/breakingnews/4359804

6.備註:
※ 一個人一天只能張貼一則新聞(以天為單位)，被刪或自刪也算額度內，超貼者水桶，請注意
※ 備註請勿張貼三日內新聞(包含連結、標題等)


","['蕾絲邊', '有請5樓打T高手', '64手是啥 天安門嗎', '打T蓋', '40歲還跟屁孩一樣', '不知道為什麼我看成中二，該讓眼睛休', '息了', '真的看不懂', '我還以為64手是18招的進階版', '我看成，我中二，64收...', '打架的時候會喊技能名稱嗎？', '兄弟，念經只限這麼一回，下次要超渡了', '但電影暗示宮二小姐喜歡葉問啊', '台女日常不意外', '什麼鬼', '我家疼英 神之手', '還好對方沒回：我葉問，三板斧打十個', '你有先過馬三嗎', '我到底看了什麼 笑死', '？', '大喊捂要打十個算恐嚇嗎？', '41歲...中二病發?', '中二 64收', '我詠春，葉問', '是不是只有我看不懂""宮二""，""64手""', '工三小', '醜T吧', '中二T 真的有夠屁', '???']"
Gossiping,Re: [問卦] 居住正義跟共產黨差在哪?,noway (null),Mon Jul 10 23:46:31 2023,"※ 引述《A6 (短ID真好)》之銘言：
: ※ 引述《kenq5566 (肯Q)》之銘言：
: : 居住正義就是保護弱勢
: : 讓大家都有房子住
: : 實際做法就是拿大家的稅金
: : 蓋社會住宅 便宜租給弱勢
: : 稅金又是所得多的人繳比較多
: : 所以整個居住正義
: : 本質上就是有錢人(通常是地主老闆等等)
: : 被逼著出錢(畢竟繳稅是義務)給沒錢人(通常是無產階級)租房子
: : 這不就是共產嗎?
: : 有八卦嗎?
: 你是不是只知道共產黨阿??
: 你知不知道北歐模式??? 居住正義 就是類似北歐模式
: 廢死的理想國 你說人家是共產黨??
: 當然啦 除了北歐模式之外 還有南歐模式
: 南歐模式就是法國西班牙的占房法
: 那叫一個刺激
: ㄎㄎ

北歐幾個比較先進的國家已經走到後資本主義的進程了

當資本家已經擁有足夠的規模兌現社會責任

就用政府的公權力課重稅及妥善分配資源

某種程度的確是共產主義的思維

其實你去看一下芬蘭挪威丹麥之類的國家

的確長得有點像馬克思共產黨宣言下的世界

大概是醬

","['這叫社會民主主義', '這裡人人年薪300萬，才不在乎什麼分', '配正義', '其實不管是資本主義或是共產主義國', '家都是不斷在修正，因為極端主義下', '都是很恐怖的，資本雖然講求自由競', '至於如果有人領著破薪水還在替資方', '爭，但對弱勢仍不可能放任其死亡，', '操心的，我只能說是腦子被狗啃了', '共產雖然講求均富，但共產下沒人會', '想奮鬥，讓社會前進', '共產要技術程度跟生產力撐得起來才', '能實施，當少數人的生產力，或是每', '個人都摸魚的生產力依然足夠消費使', '用才有機會成功', '北歐是地大物博，人稀少才能這麼分配', '地大要注重居住正義 地小反而要放任炒作', '炒房客的邏輯真令人大開眼界', '如果北歐人口密度跟台灣一樣高，還能這', '樣分嗎？', '台灣的空屋率全球最高，薪資房價比在灌了30', '%公設比後高達全球13名（中國南韓打房前數', '據）,在這種情況下還不能討論居住正義，是', '要多一言堂？']"
Gossiping,[新聞] 中國新能源車企燒光170億破產 一輛車沒造,HomeTogether (人在歸途),Mon Jul 10 23:46:55 2023,"1.媒體來源:新唐人

2.記者署名:歷澄宇

3.完整新聞標題:
中國新能源車企燒光170億破產 一輛車沒造出來

4.完整新聞內文:
https://imgur.com/rSxLHAQ
奇點汽車官網截圖。

【新唐人北京時間2023年07月10日訊】中共近年大力支持「國產電動車」，新能源車企奇
點汽車曾獲得逾170億元人民幣的融資，但近期卻被法院裁定破產，一輛車都沒造成。

陸媒日前報導，6月26日，安徽銅陵中級法院根據債權人鍾文明等10人申請，裁定受理安
徽奇點智能新能源汽車有限公司破產清算。

奇點雖然最近才被宣告破產，其實早已陷入困境，自2018年起屢被披露停發工資、資金不
足等負面消息。奇點也曾試圖自救，從日本企業和中共官方獲取新投資。

報導指，安徽奇點成立於2014年，是當地政府主導的項目，也是中國最早成立的造車新勢
力之一。公司CEO沈海寅據稱「創業經歷豐富」，曾擔任360副總裁、金山軟件集團副總裁
。奇點又趕上中共當局支持的智能電動車造車熱潮，成立初期就取得融資逾170億元，又
與北汽新能源達成代工合作，並在安徽銅陵、湖南株洲、江蘇蘇州三地建廠。

不過，奇點的關鍵產品發表頻頻跳票，至今未曾上市一款新車，被業內稱為「造車新勢力
跳票王」。

報導引述業內人士分析指，奇點汽車和拜騰汽車等車企都屬於第一批破產的造車新勢力，
即還未實現車輛交付的企業。之後還有第二批，即愛馳、天際等已經有新車問市、但後續
融資和銷量無法支撐生存的車企。

疫情爆發以來，中國經濟加速衰退，百業蕭條。

據陸媒早前報導，在過去三年，中國已有多達75個汽車品牌被淘汰，未來兩到三年內，保
守估計還會有六成到七成的品牌出局。到了2025年，多數邊緣車企都將倒閉。爲了生存，
大陸車企從今年3月起開啓了被稱爲「自殺式降價」的價格大戰，目的是「捲死對手」，
部分車型售價甚至已經低於成本。

報導引述業內分析指，這場殘酷的價格戰至少將維持到年底，甚至明年，也可能將持續數
年。

7月6日，中共工信部和中國汽車工業協會出面，組織特斯拉和中國15家主要車企簽署《承
諾書》，承諾不以「非正常價格」和「虛假宣傳」等手段進行競爭。此舉被解讀為官方出
手遏制汽車降價。

但僅僅兩天之後，中國汽車工業協會忽然宣布撤回承諾書中有關「不以非正常價格擾亂市
場公平競爭秩序」的表述。這使得16家車企的「握手言和」僅僅維持了兩日。

（責任編輯：歷澄宇）

5.完整新聞連結 (或短網址)不可用YAHOO、LINE、MSN等轉載媒體:
https://www.ntdtv.com/b5/2023/07/10/a103746389.html

6.備註:

","['反觀', '厲害了', 'XD 台灣也有類似的阿反觀三小', '就掏空啊 補助燒完就沒戲', '很有裕隆風範', '增加GDP', '反觀我們的党就沒有這個問題：因為連汽', '車廠都不用開，直接編列預算', '裕隆:', '比北洋艦隊還擺爛！定遠、鎮遠至少還把', '練習彈射上吉野號上。', '台灣政府給了某家車企一堆錢   結果 跑去', '代理代工中国品牌汽車 (之前給的補貼是不', '是要收回???', '中國電動車產業最賺錢的是電池供應商', '寧德時代，整車行業還是血海。', '公司名叫高端嗎', '嘴砲王 能夠送去在嘴裡開槍槍斃嗎', '衛士360跟金山毒霸是這個人搞的嗎', '？', '早就掏空轉到私人口袋去了吧', '台灣也有高端與裕隆 別關心他國事務']"
Gossiping,[問卦] 愛滋台女少是不是因為沒兵役體檢,redDest (紅油),Mon Jul 10 23:47:26 2023,"餓死抬頭

阿肥我看cdc愛滋病統計資料

其實月報裡面的資料蠻多的

不只危險因子和縣市分佈

檢體來源也有數據

其中有一項是役男體檢

仔細想想

台女是不是因為不用兵役體檢

所以可能沒機會驗是否有愛滋

數據上愛滋台女才比較少

有沒有八卦

","['怎麼可能，難道都沒就醫天生神力逆', '因為台女不像屁精一樣只會肛交', '想太多 怎麼可能不發病', '屁眼派對嘗過屁眼蜜才會傳染']"
Gossiping,[問卦] 肌肉魔法使是不是抄哈利波特= =,moneybuy (),Mon Jul 10 23:48:03 2023,"肌肉魔法使是不是抄哈利波特
加一拳超人
魁地奇比賽直接不演了
有沒有八卦

","['難看', '就是諷刺之前的作品XD', '我不覺得是諷刺  而是組合很多個作品的撒', '尿牛丸  還是很難吃的那種', '4 從一開始就是抄襲糞作', '這部中後期超級難看，人物也沒記憶點完全', '不懂為何會動畫化', '動畫前兩集很有即視感就直接退坑', '糞作，世界觀拼接得很隨便', '低配版黑色五葉草，忘了說黑色五葉', '草也是狗屎', '低配到好看的戲', '感覺應該當搞笑的看==', '現在的人真可憐 只能看這種糞作']"
Gossiping,[問卦] 免費提供但不是吃到飽的餐廳還有哪家?,glory5566 (榮耀5566),Mon Jul 10 23:48:51 2023,"

如題

小弟活了三十幾年，出門吃飯吃過的餐廳不知道幾家

一般餐廳白飯有要花錢額外點的，像是川菜餐廳

或是只附一碗要續要花錢的 像是一般的個人火鍋店

或是標明無限吃到飽的，像是那種泰國料理或是鐵板燒店


但是今天第一次看到所謂""免費提供但不一定能吃飽""這種前所未見的新標準

著實嚇到我了，原來我吃得還不夠多

請問台灣這種中文造詣極高的店家多嗎?

還是這很普遍只是我吃得太少?



","['你吃太少', '自助餐的大骨湯 綠豆湯', '你可以幹三商巧福的酸菜試看看啊', '按這種邏輯店家也可以只給你兩粒飯', '有 就便當店 內用提供炒麵 吃完就沒了', '關東煮免費加湯', '俗話說開飯店還怕人吃，現在店家的臉皮', '也太厚了吧', '便當店的湯阿，沒了就沒了', '這叫淺規則 董ㄇ', '店家臉皮也真的厚 虛心檢討很難嗎？', '自助餐的飲料跟湯', '之前好市多的醬料跟洋蔥啊 一堆乞丐拼命', '裝結果取消了', '自助餐提供炒麵免費也是沒了就沒了', '功夫鴨湯', '台灣開餐廳這麼跩不就消費者捧出來的', '臉皮厚點沒關係啦，反正有人挺', '你去自助餐喝湯，沒了跟老闆說，看他鳥', '不鳥你，嫩', '這輩子第一次看過這種規則隨他說的', '免費提供不等於要一直提供，你中文能力', '的確不行', '自助餐的炒麵炒飯', '免費提供，但提供多少要看我店家今', '天備多少啦XD', '吉野家的紅薑，麥當勞的餐巾紙 衛生紙', '台灣人自我道德審查最行啊 2ㄏ', '先搶先贏，用完為止', '有些牛肉湯白飯限一兩碗呀', '問那些挺老闆的低能兒阿 哪裏有這種', '你沒遇過智障店', '一堆加麵加湯不能太誇張的吧', '其實期中還有一個關鍵', '拜託多丟臉的人，才在炒白飯吃到飽', '他們是有把飯外帶回家吃喔，推文一些舉', '例根本不同情況', '其中 就是這個東西必不必要 不必要人家', '也不會靠腰 問題不會這麼大', '熱炒這麼鹹 沒白飯本來就很多人不行', '推文列出的沒一個覺得是絕對必要的', 'https://i.imgur.com/tLHcofF.jpg', '你熱炒三杯沒白飯配...配水喝嗎', '熱炒不補白飯 配炒飯一套組合拳就是要你', '多消費飲料或酒', '你沒開過店  就不知道奧客有多多', '前提就錯了，根本沒吃多少飯，哪來吃到飽', '一人頂多吃兩碗 那個碗那麼小 為啥一', '直吵吃到飽 又不是吃個五六碗', '一堆免費提供但不一定都有的好嗎', '很多自助餐除了白飯還有炒飯炒米粉熱', '那是因為北科給予極端情況打破常規好嗎', '很多吧，只是一般不會有人下西下井吃', '免費的東西吃到飽', '湯甜湯飲料，這種不就免費但沒了就沒', '學生一下來30個又點很少專程來拼飯 掃光兩', '了', '桶 店家當然不爽再弄 本來就沒義務弄 你又', '採點6千 熱炒店30人點6千真可笑 後面難道', '明明就一堆店都是，多出去走走，不然你30', '平均一人吃不到兩碗 我不知道這到底有什', '多年白活', '麼不要臉的？不爽你設低消啊', '吃到飽就店家帶的風向啊', '再去幫你買一碗15元至少好幾十碗店家出嗎', '要找到第二家怕人吃的熱炒大概難了', '不爽就不供應了啊 那學生有啥好講的', '熱炒配酒跟飲料不是常識嗎？', '感覺沒幾個人看新聞…不就是突然來了一', '群人吃光白飯，煮需要時間，老闆建議先', '點炒麵', '一群缺乏常識的人在靠北熱炒白飯不夠吃，', '到底是哪有毛病啊？', '而且也不是沒吃到，頂多不夠盡興，花', '你這是老闆事後受訪的講法吧', '前面還有人說店家沒白飯，應該免費提供', '炒麵給客人吃？？？什麼道理？', '的也不多，不值五星也不到需要留一堆', '一星吧，一個代表留1~3星也還就算了', '酒空就別學人講甚麼常識了啦', '學生聲明他們有預定，並且每個人只吃到', '一碗飯左右喔，如果這就是樓上幾位說的', '突然來把飯掃光，那我也不知道說什麼了', '敢嗆說白飯吃到飽就不要怕人吃阿', '怕人吃不會限量或收費喔？', 'https://i.imgur.com/WIa9Ti7.jpg', 'https://i.imgur.com/ys0GfLX.jpg', '這個留三星店家不就可以接受，也不是', '非要五星少一顆都不行的那種店家', '笑爛', '3星是一般 服務好 東西好 給個4 5星 那', '消費過程不滿意 給個1星2星不是很正常嗎', '還是你認為要吃到半隻蟑螂才有資格給1星', '可是才二十幾個學生各一碗就爆單，那', '平常來二十幾個普通民眾各一碗怎麼就', '不會爆單？', '說真的 你開熱炒 白飯先不管有沒有免費 沒', '有白飯你不去緊急調度 還是別開了', '看學生好欺負的店家 還敢叫記者Zzz', '吃熱炒可以沒有白飯的嗎？', '神邏輯還敢上新聞我也覺得很好笑', '只覺得滿小氣的 學生本來就比較會吃', '說點6000可笑的，八卦雞蛋漲個幾塊就在那', '今天又不是沒消費 不然以後門口', '呼天喊地是不是更可笑', '掛不歡迎學生 或拿掉免費字眼吧', 'https://tinyurl.com/2pdtz4kf', '速食店的沾醬也是啊，看你雞塊薯條買多', '少免費附相應數量的沾醬，再多就要收錢', '真是幫忙回憶了，速食店的沾料一開始都', '很多時候都是合理範圍內儘量供應啊', '無限制的，就是有鯛當家用醬整籃拿走', '後來才變成「向店員索取」', '就是被少數白目亂搞 某些就變得要設下限', '制 商家不便客人也不高興', '不過我是覺得這整件事 各退一步很簡單啦', ' 結果一兩句發言被斷章取義 或者刻意強', '調出來 就變成很怪的神邏輯', '社會品質是靠人民素質啊  這種素質.', '說醬料的要當場吃完喔', '學生可沒有拿塑膠袋把人家白飯都裝走', '便利商店的奶球跟糖也是當場喝光嗎', '結局就是各方都取消自由取用了', '不就認清了  素質低落 不能自由供應', '你如果夠乞丐你也可以凹免費=吃到', '飽啦', '免費供應的就不是吃到飽要講幾遍', '你是中國人的話 狼性夠 素質低落的', '話 建議你把所有免費提供的都凹成', '自由取用直接帶回家 便利商店的醬', '料啊 衛生紙啊 一般店家的附贈飲料', '跟湯 有本事你就夠厚臉皮跟乞丐去', '啊 看會不會被白眼   就像樓上講的', ' 素質 懂？', '你要加整杯都糖當場喝光沒問題啊', '敢說我配料免費你吃吸引客人就要承擔', '至於說改成收費也跟素質沒啥關係', '純粹就是商業行為這樣不夠利益罷了', '你吃便當店一堆這個啊，配菜，菜埔吃太', '多整鍋拿光，也會被嘴(韓國料理送的小菜', '超多也是，有給你適量吃，但不是無限吃', '，讓你整個碗公挖光拿去', '*便當店的紅茶甜湯，也不是讓你用鍋子裝', '，或者裝五個兩千嘻嘻寶特瓶，三五人吃', '光整鍋甜湯，我不信老闆坐得住。飲料可', '能容易補', '*去便利商店關東煮，買一碗結果掃了30幾', '包調味醬料的話，這會被白眼吧(有些東西', '不是免費代表無限拿光光，更不是我有花', '錢就無敵了，看情況(如果是老師請全班吃', '拿10碗20碗，帶合理數量比較ok', '理解能力真差 八竿子打不著拿來比喻', '當下學生都吃完了拿甚麼醬料來說嘴', '還甚麼拿光外帶笑死', '以前漢堡王的無限飲料也是被貪婪的台灣', '人搞沒有的，嗚嗚嗚！', '人家學生只是說一個人一碗飯不夠，怎麼', '就有人腦補成吃到撐還要外帶了', '紅茶免費提供']"
Gossiping,[問卦] 白飯事件 媒體素養都幾,lin802311 (yes543),Mon Jul 10 23:48:58 2023,"白飯事件

簡單來說，某方先找了媒體不就代表希望利用媒體的影響力刊登公審學生嗎？


而接著媒體下了一些以國立大學並附上校名的標題，並且又疑似自己增加一些引戰內文，
結果當然就是全網炸鍋

從頭到晚完全就媒體樂見社會兩派對立，吵越兇越有流量，巴不得有續集繼續炸鍋


贏家只有誰？

","['民進黨啊', '有夠無聊的事情連八卦板標都改這幹嘛阿', '明明是學生先網路刷負評霸凌店家，結果踢', '到大白鯊', '自己沒問題風向會這麼好帶嗎？', '媒體怎麼會跟素養放在一起？', '不討論停耕就算了還討論白飯 根本總', '白癡化', '洗賴導的新聞', '學生都有消費 每個人都評論不行嗎？', '有消費也不能給負評啦！要不要改只能5星', '媒體造謠生產『問題』很簡單啊！']"
Gossiping,[問卦] 白飯VS麵 !?,sasolala (殺手拉拉),Mon Jul 10 23:49:22 2023,"






生活中的主食

白飯跟麵 都是澱粉類攝取的來源

不論早餐中餐晚餐宵夜 都跟這兩個離不開關係


兩邊都有各自的擁護者

也曾經為此吵過架  前陣子的肉粽也能因為南北粽而吵架

最近的學生 又讓人想起了白飯的重要性

現實的是 白飯很多店家 還是可以給吃到飽的 像我去三媽 就一直吃白飯

但麵不行 很少看到麵 能夠吃到飽

但煮麵的時間跟煮飯好像時間是差不多的

不知鄉民怎看 兩大主食!?



","['飯 麵 冬粉', '麵條血糖增加更快，且營養價值更低', '那個鍋的麵可以吃到飽', '麵條 算是食品，飯 則是食物，差很多。', '吃粥吃到飽']"
Gossiping,Re: [問卦] 暑假是不是在瘋狂做愛了？,a41141234 (跨三小啦幹),Mon Jul 10 23:50:04 2023,"※ 引述《maruel (black duck)》之銘言：
: 暑假應該好幾個正妹在做愛吧
: 從白天X到晚上
: 跟學長從家裡做再到旅館做
: 公園也順便幹一炮
: 無時無刻都在打炮
: 打工也跟店長在倉庫X
: 逛街也在購物中心廁所瘋狂做愛
: 去學校時又跟教授打炮換學分
: 爽完之後還告人  台女不意外 救世劍
: ","['真的噁', 'Thisav最好有蓋片 分明是深櫃人格串改', '你的記憶', '快出櫃啦', '只能說被metoo就是你沒本事玩']"
Gossiping,[問卦] 484有關大學生的討論都是先嗆人沒出過社,Exc4liboor (看屁還看?),Mon Jul 10 23:50:18 2023,"
安安

最近大學生吃熱炒新聞很火欸

fb看底下留言 一堆人嗆人沒出過社會

或是 趕快讓這些學生退學早點出社會

小魯覺得莫名其妙

是大家出社會後變奴了

所以不爽 叫大學生早點出來奴的意思嗎？

而且社會人士的論點就一定是對的嗎

以前五六年級生 嗆七八年級的草莓

現在換七八年級的 嗆00後的 沒出過社會

台灣人果然最會內鬥xdd

有沒有卦
","['隨便啦 過氣了', '不會啊 也有很多嗆沒當過大學生的 我', '大學就不會這樣啊', '老實說 讀北科還不如早點出社會去搖飲料', '我八年級才沒嗆 都七年級老頭在魯洨', '大學生自己就愛戰校系', '單純點出為何觀點不同', '通常嗆這個的智商應該都不高XD', '而且往往很奴 尤其低薪又勞權觀念悲劇的', '不一定啦，你看政痰裡一堆腦弱哪個學', '歷是不好看的', '因為沒讀書又窮才早早去社會當底層', '學生自己都說作過餐飲業，人數多以後', '會預約，總召要帶20多，將近30人去吃', '飯，場地沒找好，轟店家不給白飯，就', '像是沒出社會啊，有作過餐飲還這樣，', '很失敗的總召', '老闆做餐飲連白飯量都抓不好 笑死', '自己沒做好，害同學沒吃飽，譙店家根', '很失敗的老闆', '本掩蓋自己無能', '4 一堆倚老賣老的老人', '上面的推文不就示範給你看扣帽子這件', '事兩邊不遑多讓了？笑死，光速打臉', '社會底層都愛強調', '畢竟學生時期混吃等死', '以為出了社會，不再是學生，沒人有義務再', '原諒，教育你；出了錯可能就是粉身碎骨', '所以先求躲子彈，而不是到處惹事，沒消息', '就是好消息']"
